K,Accuracy,Precision,Recall,F1-Score,CV_Mean,CV_Std
3,0.9759036144578314,0.977364001460387,0.9759036144578314,0.9759419488631468,0.9577114427860696,0.0059985209109490205
5,0.9397590361445783,0.9481258366800536,0.9397590361445783,0.9404766852511999,0.9426956128448666,0.02186483420565677
7,0.9397590361445783,0.9481258366800536,0.9397590361445783,0.9404766852511999,0.9245590230664857,0.024980085740949134
9,0.9036144578313253,0.9106078449134885,0.9036144578313253,0.9045131575252058,0.9004070556309361,0.03746419114718453
